REF_DATE,GEO,DGUID,School type,Program type,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS,Year
2003/2004,Ontario,2016A000235,"Total, school type",Regular programs for youth,Number,223,units,0,v1001753215,7.1.2,2129742.0,,,,0,2004
2004/2005,Ontario,2016A000235,"Total, school type",Regular programs for youth,Number,223,units,0,v1001753215,7.1.2,2123904.0,,,,0,2005
2005/2006,Ontario,2016A000235,"Total, school type",Regular programs for youth,Number,223,units,0,v1001753215,7.1.2,2118543.0,,,,0,2006
2006/2007,Ontario,2016A000235,"Total, school type",Regular programs for youth,Number,223,units,0,v1001753215,7.1.2,2221422.0,,,,0,2007
2007/2008,Ontario,2016A000235,"Total, school type",Regular programs for youth,Number,223,units,0,v1001753215,7.1.2,2208771.0,,,,0,2008
2008/2009,Ontario,2016A000235,"Total, school type",Regular programs for youth,Number,223,units,0,v1001753215,7.1.2,2193384.0,,,,0,2009
2009/2010,Ontario,2016A000235,"Total, school type",Regular programs for youth,Number,223,units,0,v1001753215,7.1.2,2177691.0,,,,0,2010
2010/2011,Ontario,2016A000235,"Total, school type",Regular programs for youth,Number,223,units,0,v1001753215,7.1.2,2168094.0,,,,0,2011
2011/2012,Ontario,2016A000235,"Total, school type",Regular programs for youth,Number,223,units,0,v1001753215,7.1.2,2162604.0,,,,0,2012
2012/2013,Ontario,2016A000235,"Total, school type",Regular programs for youth,Number,223,units,0,v1001753215,7.1.2,2157126.0,,,,0,2013
2013/2014,Ontario,2016A000235,"Total, school type",Regular programs for youth,Number,223,units,0,v1001753215,7.1.2,2146029.0,,,,0,2014
2014/2015,Ontario,2016A000235,"Total, school type",Regular programs for youth,Number,223,units,0,v1001753215,7.1.2,2140152.0,,,,0,2015
2015/2016,Ontario,2016A000235,"Total, school type",Regular programs for youth,Number,223,units,0,v1001753215,7.1.2,2135451.0,,,,0,2016
2016/2017,Ontario,2016A000235,"Total, school type",Regular programs for youth,Number,223,units,0,v1001753215,7.1.2,2152479.0,,,,0,2017
2017/2018,Ontario,2016A000235,"Total, school type",Regular programs for youth,Number,223,units,0,v1001753215,7.1.2,2174391.0,,,,0,2018
2002/2003,Newfoundland and Labrador,2016A000210,"Total, school type",Regular programs for youth,Number,223,units,0,v1001753169,2.1.2,84336.0,,,,0,2003
2003/2004,Newfoundland and Labrador,2016A000210,"Total, school type",Regular programs for youth,Number,223,units,0,v1001753169,2.1.2,81510.0,,,,0,2004
2004/2005,Newfoundland and Labrador,2016A000210,"Total, school type",Regular programs for youth,Number,223,units,0,v1001753169,2.1.2,79485.0,,,,0,2005
2005/2006,Newfoundland and Labrador,2016A000210,"Total, school type",Regular programs for youth,Number,223,units,0,v1001753169,2.1.2,76806.0,,,,0,2006
2006/2007,Newfoundland and Labrador,2016A000210,"Total, school type",Regular programs for youth,Number,223,units,0,v1001753169,2.1.2,75177.0,,,,0,2007
2007/2008,Newfoundland and Labrador,2016A000210,"Total, school type",Regular programs for youth,Number,223,units,0,v1001753169,2.1.2,72933.0,,,,0,2008
2008/2009,Newfoundland and Labrador,2016A000210,"Total, school type",Regular programs for youth,Number,223,units,0,v1001753169,2.1.2,71493.0,,,,0,2009
2009/2010,Newfoundland and Labrador,2016A000210,"Total, school type",Regular programs for youth,Number,223,units,0,v1001753169,2.1.2,70398.0,,,,0,2010
2010/2011,Newfoundland and Labrador,2016A000210,"Total, school type",Regular programs for youth,Number,223,units,0,v1001753169,2.1.2,69600.0,,,,0,2011
2011/2012,Newfoundland and Labrador,2016A000210,"Total, school type",Regular programs for youth,Number,223,units,0,v1001753169,2.1.2,68688.0,,,,0,2012
2012/2013,Newfoundland and Labrador,2016A000210,"Total, school type",Regular programs for youth,Number,223,units,0,v1001753169,2.1.2,68310.0,,,,0,2013
2013/2014,Newfoundland and Labrador,2016A000210,"Total, school type",Regular programs for youth,Number,223,units,0,v1001753169,2.1.2,68406.0,,,,0,2014
2014/2015,Newfoundland and Labrador,2016A000210,"Total, school type",Regular programs for youth,Number,223,units,0,v1001753169,2.1.2,68250.0,,,,0,2015
2015/2016,Newfoundland and Labrador,2016A000210,"Total, school type",Regular programs for youth,Number,223,units,0,v1001753169,2.1.2,67767.0,,,,0,2016
2016/2017,Newfoundland and Labrador,2016A000210,"Total, school type",Regular programs for youth,Number,223,units,0,v1001753169,2.1.2,67329.0,,,,0,2017
2017/2018,Newfoundland and Labrador,2016A000210,"Total, school type",Regular programs for youth,Number,223,units,0,v1001753169,2.1.2,66480.0,,,,0,2018
2002/2003,Alberta,2016A000248,"Total, school type",Regular programs for youth,Number,223,units,0,v1001753243,10.1.2,554397.0,,,,0,2003
2003/2004,Alberta,2016A000248,"Total, school type",Regular programs for youth,Number,223,units,0,v1001753243,10.1.2,552594.0,,,,0,2004
2004/2005,Alberta,2016A000248,"Total, school type",Regular programs for youth,Number,223,units,0,v1001753243,10.1.2,550983.0,,,,0,2005
2005/2006,Alberta,2016A000248,"Total, school type",Regular programs for youth,Number,223,units,0,v1001753243,10.1.2,551742.0,,,,0,2006
2006/2007,Alberta,2016A000248,"Total, school type",Regular programs for youth,Number,223,units,0,v1001753243,10.1.2,599316.0,,,,0,2007
2007/2008,Alberta,2016A000248,"Total, school type",Regular programs for youth,Number,223,units,0,v1001753243,10.1.2,598383.0,,,,0,2008
2008/2009,Alberta,2016A000248,"Total, school type",Regular programs for youth,Number,223,units,0,v1001753243,10.1.2,602028.0,,,,0,2009
2009/2010,Alberta,2016A000248,"Total, school type",Regular programs for youth,Number,223,units,0,v1001753243,10.1.2,605355.0,,,,0,2010
2010/2011,Alberta,2016A000248,"Total, school type",Regular programs for youth,Number,223,units,0,v1001753243,10.1.2,610896.0,,,,0,2011
2011/2012,Alberta,2016A000248,"Total, school type",Regular programs for youth,Number,223,units,0,v1001753243,10.1.2,607722.0,,,,0,2012
2012/2013,Alberta,2016A000248,"Total, school type",Regular programs for youth,Number,223,units,0,v1001753243,10.1.2,626343.0,,,,0,2013
2013/2014,Alberta,2016A000248,"Total, school type",Regular programs for youth,Number,223,units,0,v1001753243,10.1.2,645009.0,,,,0,2014
2014/2015,Alberta,2016A000248,"Total, school type",Regular programs for youth,Number,223,units,0,v1001753243,10.1.2,664299.0,,,,0,2015
2015/2016,Alberta,2016A000248,"Total, school type",Regular programs for youth,Number,223,units,0,v1001753243,10.1.2,678969.0,,,,0,2016
2016/2017,Alberta,2016A000248,"Total, school type",Regular programs for youth,Number,223,units,0,v1001753243,10.1.2,692538.0,,,,0,2017
2017/2018,Alberta,2016A000248,"Total, school type",Regular programs for youth,Number,223,units,0,v1001753243,10.1.2,707391.0,,,,0,2018
2002/2003,Manitoba,2016A000246,"Total, school type",Regular programs for youth,Number,223,units,0,v1001753223,8.1.2,186891.0,,,,0,2003
2003/2004,Manitoba,2016A000246,"Total, school type",Regular programs for youth,Number,223,units,0,v1001753223,8.1.2,186288.0,,,,0,2004
2004/2005,Manitoba,2016A000246,"Total, school type",Regular programs for youth,Number,223,units,0,v1001753223,8.1.2,184353.0,,,,0,2005
2005/2006,Manitoba,2016A000246,"Total, school type",Regular programs for youth,Number,223,units,0,v1001753223,8.1.2,182370.0,,,,0,2006
2006/2007,Manitoba,2016A000246,"Total, school type",Regular programs for youth,Number,223,units,0,v1001753223,8.1.2,193764.0,,,,0,2007
2007/2008,Manitoba,2016A000246,"Total, school type",Regular programs for youth,Number,223,units,0,v1001753223,8.1.2,193335.0,,,,0,2008
2008/2009,Manitoba,2016A000246,"Total, school type",Regular programs for youth,Number,223,units,0,v1001753223,8.1.2,192201.0,,,,0,2009
2009/2010,Manitoba,2016A000246,"Total, school type",Regular programs for youth,Number,223,units,0,v1001753223,8.1.2,192381.0,,,,0,2010
2010/2011,Manitoba,2016A000246,"Total, school type",Regular programs for youth,Number,223,units,0,v1001753223,8.1.2,192711.0,,,,0,2011
2011/2012,Manitoba,2016A000246,"Total, school type",Regular programs for youth,Number,223,units,0,v1001753223,8.1.2,194148.0,,,,0,2012
2012/2013,Manitoba,2016A000246,"Total, school type",Regular programs for youth,Number,223,units,0,v1001753223,8.1.2,195171.0,,,,0,2013
2013/2014,Manitoba,2016A000246,"Total, school type",Regular programs for youth,Number,223,units,0,v1001753223,8.1.2,195429.0,,,,0,2014
2014/2015,Manitoba,2016A000246,"Total, school type",Regular programs for youth,Number,223,units,0,v1001753223,8.1.2,196341.0,,,,0,2015
2015/2016,Manitoba,2016A000246,"Total, school type",Regular programs for youth,Number,223,units,0,v1001753223,8.1.2,198132.0,,,,0,2016
2016/2017,Manitoba,2016A000246,"Total, school type",Regular programs for youth,Number,223,units,0,v1001753223,8.1.2,200223.0,,,,0,2017
2017/2018,Manitoba,2016A000246,"Total, school type",Regular programs for youth,Number,223,units,0,v1001753223,8.1.2,202545.0,,,,0,2018
2002/2003,Saskatchewan,2016A000247,"Total, school type",Regular programs for youth,Number,223,units,0,v1001753231,9.1.2,182553.0,,,,0,2003
2003/2004,Saskatchewan,2016A000247,"Total, school type",Regular programs for youth,Number,223,units,0,v1001753231,9.1.2,179883.0,,,,0,2004
2004/2005,Saskatchewan,2016A000247,"Total, school type",Regular programs for youth,Number,223,units,0,v1001753231,9.1.2,176118.0,,,,0,2005
2005/2006,Saskatchewan,2016A000247,"Total, school type",Regular programs for youth,Number,223,units,0,v1001753231,9.1.2,172833.0,,,,0,2006
2006/2007,Saskatchewan,2016A000247,"Total, school type",Regular programs for youth,Number,223,units,0,v1001753231,9.1.2,166722.0,,,,0,2007
2007/2008,Saskatchewan,2016A000247,"Total, school type",Regular programs for youth,Number,223,units,0,v1001753231,9.1.2,168348.0,,,,0,2008
2008/2009,Saskatchewan,2016A000247,"Total, school type",Regular programs for youth,Number,223,units,0,v1001753231,9.1.2,167532.0,,,,0,2009
2009/2010,Saskatchewan,2016A000247,"Total, school type",Regular programs for youth,Number,223,units,0,v1001753231,9.1.2,168408.0,,,,0,2010
2010/2011,Saskatchewan,2016A000247,"Total, school type",Regular programs for youth,Number,223,units,0,v1001753231,9.1.2,169665.0,,,,0,2011
2011/2012,Saskatchewan,2016A000247,"Total, school type",Regular programs for youth,Number,223,units,0,v1001753231,9.1.2,171324.0,,,,0,2012
2012/2013,Saskatchewan,2016A000247,"Total, school type",Regular programs for youth,Number,223,units,0,v1001753231,9.1.2,175017.0,,,,0,2013
